Schedule	3/30/13	3/31/13	4/1/13	4/2/13	4/3/13	4/4/13	4/5/13	4/6/13	4/7/13	4/8/13	4/9/13	4/10/13	4/11/13	4/12/13	4/13/13	4/14/13	4/15/13	4/16/13	4/17/13	4/18/13	4/19/13	4/20/13	4/21/13	4/22/13	4/23/13	4/24/13	4/25/13	4/26/13	4/27/13	4/28/13	4/29/13	4/30/13	5/1/13	5/2/13	5/3/13	5/4/13	5/5/13	5/6/13	5/7/13	5/8/13	5/9/13	5/10/13	5/11/13	5/12/13	5/13/13	5/14/13	5/15/13	5/16/13	5/17/13	5/18/13	5/19/13	5/20/13	5/21/13	5/22/13	5/23/13	5/24/13	5/25/13	5/26/13	5/27/13	5/28/13	5/29/13	5/30/13	5/31/13	6/1/13	6/2/13	6/3/13	6/4/13	6/5/13	6/6/13	6/7/13	6/8/13	6/9/13	6/10/13	6/11/13	6/12/13	6/13/13	6/14/13	6/15/13	6/16/13	6/17/13	6/18/13	6/19/13	6/20/13	6/21/13	6/22/13	6/23/13	6/24/13	6/25/13	6/26/13	6/27/13	6/28/13	6/29/13	6/30/13	7/1/13	7/2/13	7/3/13	7/4/13	7/5/13	7/6/13	7/7/13	7/8/13	7/9/13	7/10/13	7/11/13	7/12/13	7/13/13	7/14/13	7/15/13	7/16/13	7/17/13	7/18/13	7/19/13	7/20/13	7/21/13	7/22/13	7/23/13	7/24/13	7/25/13	7/26/13	7/27/13	7/28/13	7/29/13	7/30/13	7/31/13	8/1/13	8/2/13	8/3/13	8/4/13	8/5/13	8/6/13	8/7/13	8/8/13	8/9/13	8/10/13	8/11/13	8/12/13	8/13/13	8/14/13	8/15/13	8/16/13	8/17/13	8/18/13	8/19/13	8/20/13	8/21/13	8/22/13	8/23/13	8/24/13	8/25/13	8/26/13	8/27/13	8/28/13	8/29/13	8/30/13	8/31/13	9/1/13	9/2/13	9/3/13	9/4/13	9/5/13	9/6/13	9/7/13	9/8/13	9/9/13	9/10/13	9/11/13	9/12/13	9/13/13	9/14/13	9/15/13	9/16/13	9/17/13	9/18/13	9/19/13	9/20/13	9/21/13	9/22/13	9/23/13	9/24/13	9/25/13	9/26/13	9/27/13	9/28/13	9/29/13
Flushing	3	2	3	2	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	3	2	1	1	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	3	2	1	1	8	7	6	5	4	3	2	1	1	2	x
The Bronx	3	2	3	2	1	1	8	7	6	5	4	3	2	1	2	1	2	1	1	1	7	6	5	4	3	2	1	1	2	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	11	10	9	8	7	6	5	4	3	2	1	1	1	1	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	1	x	x	x
New York	3	3	3	3	3	3	8	7	13	12	11	10	9	8	7	6	5	4	3	3	7	6	5	4	3	3	3	3	3	10	9	8	7	6	5	4	10	9	8	7	6	5	4	9	8	7	6	5	4	3	11	10	9	8	7	6	5	4	3	3	10	9	8	7	6	5	4	14	13	12	11	10	9	8	7	6	5	4	13	12	11	10	9	8	7	6	5	4	3	9	8	7	6	5	4	3	16	15	14	13	12	11	10	9	8	7	13	12	11	10	9	8	7	6	5	4	3	9	8	7	13	12	11	10	9	8	7	6	5	4	3	13	12	11	10	9	8	7	6	5	4	3	3	3	3	9	8	7	6	5	4	3	12	11	10	9	8	7	6	5	4	3	13	12	11	10	9	8	7	6	5	4	3	8	7	6	5	4	3	3	3	x	x	x
Toronto	4	3	2	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	1	1	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	10	9	8	7	6	5	4	3	2	1	1	5	4	3	2	2	1	2	1	1	2	2	1	11	10	9	8	7	6	5	4	3	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	9	8	7	6	5	4	3	2	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	2	1	1	1	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	3	2	1	1	1	8	7	6	5	4	3	2	1	2	x
Seattle	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	3	2	1	1	8	7	6	5	4	3	2	1	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	1	5	4	3	2	1	1	2	1	1	1	2	1	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	3	2	1	2	9	8	7	6	5	4	3	2	1	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	x
Leitchfield	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	x
Hutsonville	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	x
Plainview	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	x
Dyersville	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	x
Mt. Pleasant	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	x
Durham	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	x
Cooperstown	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	x
Disneyland	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	x
Disneyworld	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	x
