Schedule	3/26/2020	3/27/2020	3/28/2020	3/29/2020	3/30/2020	3/31/2020	4/1/2020	4/2/2020	4/3/2020	4/4/2020	4/5/2020	4/6/2020	4/7/2020	4/8/2020	4/9/2020	4/10/2020	4/11/2020	4/12/2020	4/13/2020	4/14/2020	4/15/2020	4/16/2020	4/17/2020	4/18/2020	4/19/2020	4/20/2020	4/21/2020	4/22/2020	4/23/2020	4/24/2020	4/25/2020	4/26/2020	4/27/2020	4/28/2020	4/29/2020	4/30/2020	5/1/2020	5/2/2020	5/3/2020	5/4/2020	5/5/2020	5/6/2020	5/7/2020	5/8/2020	5/9/2020	5/10/2020	5/11/2020	5/12/2020	5/13/2020	5/14/2020	5/15/2020	5/16/2020	5/17/2020	5/18/2020	5/19/2020	5/20/2020	5/21/2020	5/22/2020	5/23/2020	5/24/2020	5/25/2020	5/26/2020	5/27/2020	5/28/2020	5/29/2020	5/30/2020	5/31/2020	6/1/2020	6/2/2020	6/3/2020	6/4/2020	6/5/2020	6/6/2020	6/7/2020	6/8/2020	6/9/2020	6/10/2020	6/11/2020	6/12/2020	6/13/2020	6/14/2020	6/15/2020	6/16/2020	6/17/2020	6/18/2020	6/19/2020	6/20/2020	6/21/2020	6/22/2020	6/23/2020	6/24/2020	6/25/2020	6/26/2020	6/27/2020	6/28/2020	6/29/2020	6/30/2020	7/1/2020	7/2/2020	7/3/2020	7/4/2020	7/5/2020	7/6/2020	7/7/2020	7/8/2020	7/9/2020	7/10/2020	7/11/2020	7/12/2020	7/13/2020	7/14/2020	7/15/2020	7/16/2020	7/17/2020	7/18/2020	7/19/2020	7/20/2020	7/21/2020	7/22/2020	7/23/2020	7/24/2020	7/25/2020	7/26/2020	7/27/2020	7/28/2020	7/29/2020	7/30/2020	7/31/2020	8/1/2020	8/2/2020	8/3/2020	8/4/2020	8/5/2020	8/6/2020	8/7/2020	8/8/2020	8/9/2020	8/10/2020	8/11/2020	8/12/2020	8/13/2020	8/14/2020	8/15/2020	8/16/2020	8/17/2020	8/18/2020	8/19/2020	8/20/2020	8/21/2020	8/22/2020	8/23/2020	8/24/2020	8/25/2020	8/26/2020	8/27/2020	8/28/2020	8/29/2020	8/30/2020	8/31/2020	9/1/2020	9/2/2020	9/3/2020	9/4/2020	9/5/2020	9/6/2020	9/7/2020	9/8/2020	9/9/2020	9/10/2020	9/11/2020	9/12/2020	9/13/2020	9/14/2020	9/15/2020	9/16/2020	9/17/2020	9/18/2020	9/19/2020	9/20/2020	9/21/2020	9/22/2020	9/23/2020	9/24/2020	9/25/2020	9/26/2020	9/27/2020
Kansas City	8	7	6	5	4	3	2	3	2	2	2	1	1	6	5	4	3	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	6	5	4	3	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	x
Arlington	6	5	4	3	2	2	1	1	1	1	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	3	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x
Milwaukee	3	2	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	2	10	9	8	7	6	5	4	3	2	1	2	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	8	7	6	5	4	3	2	1	1	1	3	2	1	10	9	8	7	6	5	4	3	2	1	1	2	2	1	7	6	5	4	3	2	1	1	1	1	1	x	x	x	x	x	x	x	x
Chicago - Wrigley	5	4	3	2	2	1	3	2	2	2	6	5	4	3	2	2	2	1	9	8	7	6	5	4	3	2	1	1	2	2	2	2	1	1	10	9	8	7	6	5	4	3	2	2	2	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	2	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	1	1	8	7	6	5	4	3	2	1	1	1	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	1	1	10	9	8	7	6	5	4	3	2	2	2	2	2	1	1	1	11	10	9	8	7	6	5	4	3	2	1	1	1	2	2	2	9	8	7	6	5	4	3	2	1	1	3	2	2	2	9	8	7	6	5	4	3	2	1	1	1	2	2	2	6	5	4	3	2	2	x	x
Chicago - U.S. Cellular	3	2	2	9	8	7	6	5	4	3	2	2	2	3	2	1	2	5	4	3	2	1	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	8	7	6	5	4	3	2	1	1	1	3	2	1	10	9	8	7	6	5	4	3	2	1	2	6	5	4	3	2	1	2	3	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	3	2	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	8	7	6	5	4	3	2	1	1	1	2	1	1	x	x	x	x	x
Chicago	5	4	3	9	8	7	6	5	4	3	6	5	4	3	3	3	3	5	9	8	7	6	5	4	3	3	3	10	9	8	7	6	5	4	10	9	8	7	6	5	4	3	8	7	6	5	4	3	14	13	12	11	10	9	8	10	9	8	7	6	5	4	3	3	3	3	6	5	4	3	13	12	11	10	9	8	7	12	11	10	9	8	7	6	5	4	3	3	8	7	6	5	4	3	10	9	8	7	6	5	4	13	12	11	10	9	8	7	12	11	10	9	8	7	6	5	4	3	10	9	8	7	6	5	4	10	9	8	7	6	5	4	3	3	11	10	9	8	7	6	5	4	3	10	9	8	7	6	5	4	9	8	7	6	5	4	3	10	9	8	7	6	5	4	9	8	7	6	8	7	6	5	4	3	3	3	3	3	6	5	4	x	x	x	x	x
Cleveland	3	2	2	2	1	1	9	8	7	6	5	4	3	2	1	1	1	3	2	1	1	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	10	9	8	7	6	5	4	3	2	1	2	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	1	5	4	3	2	1	1	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	x
Baltimore	3	2	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	2	1	1	1	1	2	6	5	4	3	2	1	2	3	2	1	1	1	8	7	6	5	4	3	2	1	2	6	5	4	3	2	1	2	2	1	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	2	1	9	8	7	6	5	4	3	2	1	1	1	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	1	x	x	x
Washington	8	7	6	5	4	3	2	3	2	2	2	1	1	9	8	7	6	5	4	3	2	1	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	2	8	7	6	5	4	3	2	1	1	2	1	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	2	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	6	5	4	3	2	1	x	x
BWI	8	7	6	5	4	3	10	9	8	7	6	5	4	9	8	7	6	5	4	3	3	9	8	7	6	5	4	3	9	8	7	6	5	4	3	9	8	7	6	5	4	3	13	12	11	10	9	8	13	12	11	10	9	8	7	6	5	4	3	3	8	7	6	5	4	3	6	5	4	3	3	3	3	10	9	8	7	6	8	7	6	5	4	3	3	3	3	6	5	4	3	9	8	7	6	5	4	17	16	15	14	13	12	11	10	9	8	7	13	12	11	10	9	8	7	6	5	4	3	3	3	3	10	9	8	13	12	11	10	9	8	7	6	5	4	3	9	8	7	6	5	4	3	10	9	8	7	6	5	14	13	12	11	10	9	8	7	6	5	4	3	13	12	11	10	9	8	7	6	5	4	9	8	7	6	5	4	3	6	5	4	3	3	x	x	x
Detroit	5	4	3	2	3	2	2	2	2	2	6	5	4	3	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	2	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	8	7	6	5	4	3	2	1	1	1	3	2	1	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	x
Cincinnati	3	2	2	9	8	7	6	5	4	3	2	1	1	2	1	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	6	5	4	3	2	1	2	2	2	1	1	8	7	6	5	4	3	2	1	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	1	6	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	2	x	x	x	x	x	x	x	x
Minneapolis	8	7	6	5	4	3	2	3	2	2	2	2	2	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	2	9	8	7	6	5	4	3	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	2	1	1	2	6	5	4	3	2	1	2	9	8	7	6	5	4	3	2	1	1	2	1	1	2	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x	x	x	x	x	x	x	x
Boston	8	7	6	5	4	3	2	3	2	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	2	1	1	1	8	7	6	5	4	3	2	1	2	3	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	6	5	4	3	2	1	1	1	2	1	2	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	5	4	3	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	x	x
Pittsburgh	8	7	6	5	4	3	2	3	2	2	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	7	6	5	4	3	2	1	1	2	1	2	2	9	8	7	6	5	4	3	2	1	1	1	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	6	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x
St. Louis	8	7	6	5	4	3	2	3	2	2	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	2	9	8	7	6	5	4	3	2	1	1	3	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	6	5	4	3	2	1	2	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	8	7	6	5	4	3	2	1	1	1	3	2	1	6	5	4	3	2	1	1	x	x	x	x	x
Atlanta	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	2	1	1	9	8	7	6	5	4	3	2	1	2	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	2	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	x
Miami	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	1	1	1	1	8	7	6	5	4	3	2	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	6	5	4	3	2	1	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	x
St. Petersburg	3	2	2	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	6	5	4	3	2	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	x	x	x	x	x	x	x	x
Houston	1	1	1	10	9	8	7	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	2	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	2	1	2	1	8	7	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	7	6	5	4	3	2	1	2	2	2	2	9	8	7	6	5	4	3	2	1	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	x	x	x	x	x	x	x	x
